Ramo,origin,development,Pagados,Pendientes,Incurridos,Cantidad
Daño parcial,2018-01-01,1.0,837700814792.3718,251485859311.9126,1089186674104.2844,42987125.528247185
Daño parcial,2018-01-01,2.0,203693174901.68716,-89859288888.80675,113833886012.88042,1027346.2894304555
Daño parcial,2018-01-01,3.0,9789279638.44644,2013109351.9165316,11802388990.362972,44579.8628741559
Daño parcial,2018-01-01,4.0,1515670372.5517812,-557669391.8316495,958000980.7201318,5291.068398564902
Daño parcial,2018-01-01,5.0,625306040.867614,34484783.344969444,659790824.2125835,1013.7576665926837
Daño parcial,2018-01-01,6.0,130633411.0181348,146363005.7180567,276996416.7361915,202.7048232696764
Daño parcial,2019-01-01,1.0,737637327647.6937,192333279258.59088,929970606906.2847,23717765.526493296
Daño parcial,2019-01-01,2.0,148696593633.9095,-70387625793.35916,78308967840.55032,1118878.6236694197
Daño parcial,2019-01-01,3.0,5502203254.930145,-5478572251.654389,23631003.275755636,27148.219997398486
Daño parcial,2019-01-01,4.0,737672213.1098182,125344778.36881775,863016991.4786359,1599.836317591579
Daño parcial,2019-01-01,5.0,250983831.41377184,72509548.29370251,323493379.70747435,260.8334122955395
Daño parcial,2020-01-01,1.0,659623772724.4226,224812177231.83795,884435949956.2605,15377521.542520668
Daño parcial,2020-01-01,2.0,184170724962.2609,-97916755288.46808,86253969673.79283,673099.4869888636
Daño parcial,2020-01-01,3.0,2549484773.0270452,-1153008834.7125976,1396475938.3144476,9947.497103440708
Daño parcial,2020-01-01,4.0,632847820.7632334,234094015.4149966,866941836.17823,4297.044157988802
Daño parcial,2021-01-01,1.0,813569346251.0094,319677711045.822,1133247057296.8315,13360966.02708007
Daño parcial,2021-01-01,2.0,177876337105.34915,-80164501483.06146,97711835622.28769,538907.2395752544
Daño parcial,2021-01-01,3.0,4124557162.7622194,-215398755.2506109,3909158407.5116086,11643.603524872884
Daño parcial,2022-01-01,1.0,643539496771.4059,276726570690.21985,920266067461.6257,7186897.697624813
Daño parcial,2022-01-01,2.0,95885800749.34789,-33523450069.22973,62362350680.118164,130662.6347936484
Daño parcial,2023-01-01,1.0,708981329889.281,235069611408.01535,944050941297.2964,1966332.1762209293
Daño total,2018-01-01,1.0,285398895720.31946,117922054937.01633,403320950657.3358,1347222.020591203
Daño total,2018-01-01,2.0,118832833706.42577,-54949167916.6361,63883665789.789665,84001.41489370144
Daño total,2018-01-01,3.0,7494968104.966923,390964685.5206733,7885932790.487596,10425.170203714953
Daño total,2018-01-01,4.0,1498282987.458606,-139983675.99421155,1358299311.4643943,577.3983371449793
Daño total,2018-01-01,5.0,900003031.7863604,214150298.44153473,1114153330.227895,205.91952602663886
Daño total,2018-01-01,6.0,363865315.3673823,200196160.30070403,564061475.6680863,25.33810290870955
Daño total,2019-01-01,1.0,235156333404.17163,95754147766.7226,330910481170.8942,777971.8829406489
Daño total,2019-01-01,2.0,76435163425.43912,-35841644719.252045,40593518706.187065,68578.31992883813
Daño total,2019-01-01,3.0,6489948102.630629,-2201974854.5296345,4287973248.100994,2540.5526834379093
Daño total,2019-01-01,4.0,936445682.1448276,301719525.1998784,1238165207.344706,512.1588211431788
Daño total,2019-01-01,5.0,293819001.80509007,244878131.11300972,538697132.9180998,81.97621529288384
Daño total,2020-01-01,1.0,176806444741.51474,109487169738.99722,286293614480.51196,416642.955470775
Daño total,2020-01-01,2.0,79040484701.71207,-42260332015.70366,36780152686.008415,31977.3697262474
Daño total,2020-01-01,3.0,2738411064.727704,-1053290371.7586459,1685120692.969058,723.3583350166545
Daño total,2020-01-01,4.0,541949580.9931909,123976894.64110011,665926475.634291,86.44764521795024
Daño total,2021-01-01,1.0,208518765040.43716,123172890297.35121,331691655337.7884,321211.94402954425
Daño total,2021-01-01,2.0,73414585944.257,-45035252483.88486,28379333460.37215,25486.50133668169
Daño total,2021-01-01,3.0,2224752894.3575015,-183428557.42464072,2041324336.9328606,311.5096181129586
