Ramo,origin,development,Pagados,Pendientes,Incurridos,Cantidad
Daño parcial,1999-01-01,8.0,81509.39139302501,1524960.8229054108,1606470.2142984949,14.95228503165659
Daño parcial,1999-01-01,9.0,248895.66839922374,-146618.75996346975,102276.90843572524,285.8936907223436
Daño parcial,1999-01-01,10.0,56814.556671437,-4618691.379911941,-4561876.823240472,
Daño parcial,1999-01-01,11.0,4049.6563206542633,198284.7441160529,202334.40043669337,21.540725109863104
Daño parcial,1999-01-01,12.0,231784.73545153963,-82348.82706056765,149435.90839098624,103.67649607323231
Daño parcial,1999-01-01,13.0,37525.99817704637,-7225.513680245858,30300.484496805388,16.752677757609987
Daño parcial,1999-01-01,14.0,26867.14939960544,90025.83337993604,116892.98277955268,7.400032335432384
Daño parcial,1999-01-01,15.0,88282.07347255002,131844.09100433963,220126.16447688968,18.618978652906485
Daño parcial,1999-01-01,16.0,35149.21989147088,134733.2365809174,169882.45647237767,45.61213741233335
Daño parcial,1999-01-01,17.0,5029.0855621030105,90870.4873882135,95899.57295030008,3.9755617091723403
Daño parcial,1999-01-01,18.0,3319.0724634123394,424154.8941728332,427473.96663626615,3.1694733225772476
Daño parcial,1999-01-01,19.0,10141.80946808653,-37127.51641862616,-26985.70695054347,
Daño parcial,1999-01-01,20.0,9058.93635538951,205799.6656530953,214858.60200848497,3.396167187296457
Daño parcial,1999-01-01,21.0,4443.624346556377,79853.15150431335,84296.77585087142,
Daño parcial,2000-01-01,1.0,1744238461.29321,283585770.62702227,2027824231.920233,3083601.091587765
Daño parcial,2000-01-01,2.0,273141398.2721058,-226505751.1301094,46635647.14199574,94423.36437790087
Daño parcial,2000-01-01,3.0,5081345.530436761,-1896287.8408119944,3185057.6896247393,681.9560251206522
Daño parcial,2000-01-01,4.0,1690696.5347868216,-409435.0007775935,1281261.5340092909,481.4055095849518
Daño parcial,2000-01-01,5.0,1131916.1093821581,4830368.585344187,5962284.694726332,107.78239002141058
